SC NETWORK_ID LAT LON
88 WIB9048 40.98021667 28.833175
88 WIS1233 41.0560833 28.852055600000003
89 WIB0420 41.0542833 28.844863899999996
89 WIS1163 41.03811944 28.78093889
89 WIS1369 40.97560556 28.72006667
89 WIS5082 41.1075278 28.8674528
89 WIS5551 41.01136111 28.83202778
90 WIB0260 41.02642222 28.81223056
90 WIS0408 41.0695167 28.902838899999995
90 WIS1369 40.97560556 28.72006667
90 WIS5082 41.1075278 28.8674528
91 WIS0870 40.95966667 28.83816667
91 WIS1035 41.1049139 28.86575
91 WIS1163 41.03811944 28.78093889
91 WIS1233 41.0560833 28.852055600000003
91 WIS5107 41.00933333 28.83841667
92 WED0036 41.4554694 26.830080600000002
92 WIS0580 41.02136111 28.78643056
92 WIS5067 40.97222222 28.72327778
93 WED0051 40.8255694 26.636988899999995
93 WIS0580 41.02136111 28.78643056
93 WIS0870 40.95966667 28.83816667
93 WIS1035 41.1049139 28.86575
94 WED0081 41.6371889 26.789788899999998
94 WED0083 41.68830560000001 26.468777799999998
94 WIS0580 41.02136111 28.78643056
94 WIS1369 40.97560556 28.72006667
94 WIS5082 41.1075278 28.8674528
94 WIS5108 41.01003056 28.82830278
94 WIS5386 40.96371389 28.83352222
95 WED0063 40.966888899999994 26.634888899999996
95 WIS1035 41.1049139 28.86575
95 WIS1163 41.03811944 28.78093889
96 WIB1320 41.068838899999996 28.8865278
96 WIS0583 41.01956111 28.80078889
97 WED0060 41.294444399999996 26.693166700000003
97 WIS0395 41.01580556 28.81155
97 WIS0432 41.0594722 28.8647667
97 WIS5225 40.954725 28.82368611
98 WED0060 41.294444399999996 26.693166700000003
98 WIB0048 40.98383333 28.78275
98 WIB0547 41.0801667 28.888611100000002
98 WIS0094 41.03188611 28.81280278
99 WIB1491 41.019283 28.788969
99 WIB9049 40.97552778 28.85677778
99 WIS0432 41.0594722 28.8647667
99 WIS5088 40.96083333 28.82886111
100 WIB0013 41.00685833 28.85668333
100 WIS0689 40.99541111 28.7228
